Gene	Age	dnds	Degree	cai	GC_content	essentiality	marginal_essentiality	phylogenetic_capacitance
YIR038C	pre_Eukaryota	0.05965	65	0.234	0.412	0	0.041973624	3
YIR039C	Eukaryota	0.20255	2	0.13	0.397	0	0.011638346	3
YIR042C	pre_Eukaryota	0.11905	1	0.123	0.391	0	0.003798659	3
YJL001W	pre_Eukaryota	0.0172333333333	28	0.172	0.412	1	0.094447994	5
YJL002C	pre_Eukaryota	0.109666666667	27	0.165	0.391	1	0.103372154	4
YJL003W	N/A	0.0413333333333	1	0.102	0.387	0	0.331150368	4
YJL004C	Eukaryota	0.0983333333333	21	0.095	0.369	0	0.060422483	4
YJL005W	Eukaryota	0.0358	21	0.125	0.388	1	0.066810305	3
YJL006C	Eukaryota	0.0644666666667	12	0.113	0.355	0	0.0338002	4
YJL008C	pre_Eukaryota	0.023	24	0.203	0.408	1	0.071290228	6
YJL010C	Eukaryota	0.0565	55	0.17	0.367	1	0.057006211	3
YJL011C	Eukaryota	0.0597	23	0.12	0.387	1	0.088556112	4
YJL012C	Eukaryota	0.0141	13	0.247	0.39	0	0.022687057	6
YJL013C	Eukaryota	0.19415	11	0.128	0.375	0	0.029992137	4
YJL014W	pre_Eukaryota	0.0193	85	0.228	0.402	1	0.080410617	5
YJL016W	N/A	0.0966666666667	5	0.14	0.384	0	0.144126948	4
YJL019W	SCER_S28	0.165766666667	26	0.126	0.398	1	0.079855709	4
YJL020C	Fungi	0.2406	71	0.135	0.433	0	0.010834698	3
YJL023C	SCER_S28	0.24775	5	0.128	0.356	0	0.579104146	3
YJL024C	Eukaryota	0.008	5	0.14	0.38	0	0.041301283	3
YJL025W	SCER_S28	0.1375	11	0.127	0.41	1	0.048902641	4
YJL026W	pre_Eukaryota	0.0188333333333	24	0.501	0.428	1	0.061942059	6
YJL029C	Eukaryota	0.09165	14	0.131	0.388	0	0.239014144	3
YJL030W	Eukaryota	0.0674	38	0.115	0.393	0	0.002818547	4
YJL031C	Eukaryota	0.1482	3	0.161	0.352	1	0.068554867	4
YJL033W	pre_Eukaryota	0.0296	68	0.2	0.383	1	0.106786636	6
YJL035C	pre_Eukaryota	0.134833333333	3	0.122	0.425	1	0.079666224	4
YJL036W	pre_Eukaryota	0.0209666666667	25	0.147	0.377	0	0.079007382	4
YJL037W	N/A	0.154	1	0.113	0.396	0	0.016423157	4
YJL039C	Fungi	0.0924	14	0.148	0.36	1	0.095095336	4
YJL041W	Eukaryota	0.0435	44	0.165	0.418	1	0.04405837	4
YJL042W	SCER_S28	0.0769	9	0.152	0.441	0	0.023532057	3
YJL043W	SCER_S28	0.2116	1	0.088	0.519	0	0.009998391	3
YJL044C	Eukaryota	0.186633333333	12	0.164	0.383	0	0.011337185	4
YJL045W	pre_Eukaryota	0.0343	3	0.163	0.445	0	0.017902548	5
YJL046W	N/A	0.0928	1	0.12	0.355	0	0.357392661	4
YJL047C	Eukaryota	0.1528	21	0.123	0.37	0	0.100612984	4
YJL048C	Eukaryota	0.1236	7	0.136	0.412	0	0.014132071	4
YJL049W	N/A	0.1915	1	0.158	0.339	0	0.024326034	4
YJL051W	N/A	0.1503	11	0.121	0.393	0	0.032810544	3
YJL052W	pre_Eukaryota	0.0598666666667	24	0.856	0.462	0	0.063484417	6
YJL053W	Eukaryota	0.0535666666667	11	0.136	0.387	0	0.047259922	4
YJL055W	pre_Eukaryota	0.09375	3	0.143	0.435	0	0.036890237	4
YJL057C	pre_Eukaryota	0.0737	26	0.136	0.382	0	0.03685793	3
YJL058C	SCER_S28	0.0865	20	0.124	0.374	0	0.08274838	4
YJL059W	Eukaryota	0.079	4	0.123	0.384	0	0.102840609	3
YJL060W	pre_Eukaryota	0.02215	11	0.213	0.393	0	0.063459085	4
YJL061W	SCER_S28	0.1167	26	0.155	0.354	1	0.101587582	3
YJL062W	N/A	0.0939	3	0.116	0.414	0	0.125476236	3
YJL063C	pre_Eukaryota	0.0846	33	0.088	0.489	0	0.244094617	4
YJL065C	SCER_S28	0.200766666667	7	0.11	0.467	0	0.017954192	4
YJL066C	SCER_S28	0.1532	10	0.157	0.455	0	0.027659374	4
YJL068C	pre_Eukaryota	0.0853666666667	4	0.199	0.449	0	0.160348279	4
YJL069C	pre_Eukaryota	0.0598	37	0.165	0.397	1	0.085851167	4
YJL070C	Eukaryota	0.094	9	0.14	0.362	0	0.04034994	3
YJL071W	Fungi	0.0794	0	0.118	0.383	0	0.032349425	3
YJL072C	Eukaryota	0.0786	13	0.12	0.382	1	0.079784953	4
YJL073W	N/A	0.12995	4	0.137	0.374	0	0.06304655	4
YJL074C	pre_Eukaryota	0.0398	46	0.181	0.361	1	0.077421291	4
YJL076W	SCER_S28	0.14985	59	0.152	0.414	1	0.054034052	4
YJL078C	Eukaryota	0.5035	2	0.147	0.485	0	0.029285479	2
YJL080C	Eukaryota	0.04945	34	0.33	0.396	0	0.093301028	4
YJL081C	Eukaryota	0.0431333333333	49	0.132	0.401	1	0.140221056	4
YJL082W	Eukaryota	0.0294666666667	3	0.173	0.401	0	0.045443872	4
YJL083W	N/A	0.12865	7	0.094	0.445	0	0.022537547	4
YJL084C	Eukaryota	0.0763	37	0.133	0.385	0	0.030801515	4
YJL085W	Eukaryota	0.05225	15	0.156	0.362	1	0.087776921	4
YJL087C	Fungi	0.0821	3	0.159	0.36	1	0.080169835	4
YJL088W	N/A	0.03835	5	0.201	0.365	0	0.083918442	4
YJL089W	Fungi	0.13235	11	0.138	0.325	0	0.00925859	4
YJL090C	pre_Eukaryota	0.1377	22	0.138	0.352	1	0.165633566	4
YJL091C	Eukaryota	0.155766666667	13	0.132	0.364	1	0.11737915	4
YJL092W	pre_Eukaryota	0.0639	102	0.128	0.379	0	0.096053641	3
YJL093C	N/A	0.1035	4	0.123	0.397	0	0.165142264	4
YJL094C	pre_Eukaryota	0.0517	2	0.132	0.382	0	0.076987786	3
YJL095W	pre_Eukaryota	0.07675	132	0.121	0.388	0	0.062853438	5
YJL097W	pre_Eukaryota	0.1133	9	0.18	0.384	1	0.084542089	4
YJL098W	Eukaryota	0.0947	54	0.146	0.378	0	0.069550662	3
YJL099W	Fungi	0.149533333333	11	0.118	0.381	0	0.031516576	4
YJL100W	pre_Eukaryota	0.13995	3	0.109	0.438	0	0.063082629	3
YJL101C	N/A	0.0414	7	0.136	0.401	0	0.093748861	3
YJL102W	pre_Eukaryota	0.0729	3	0.128	0.382	0	0.287434099	4
YJL103C	N/A	0.116766666667	4	0.119	0.371	0	0.044150569	4
YJL104W	N/A	0.0814	17	0.092	0.407	1	0.073880009	4
YJL105W	N/A	0.148633333333	4	0.102	0.379	0	0.127267863	4
YJL106W	Eukaryota	0.0531	82	0.148	0.37	0	0.051793877	4
YJL108C	N/A	0.02325	14	0.172	0.41	0	0.035295393	4
YJL109C	Eukaryota	0.0518	77	0.17	0.355	1	0.112891113	3
YJL110C	Eukaryota	0.17385	26	0.103	0.394	0	0.03309415	4
YJL111W	pre_Eukaryota	0.0174	19	0.192	0.39	1	0.094602693	4
YJL112W	pre_Eukaryota	0.1121	16	0.121	0.395	0	0.090027969	3
YJL115W	Eukaryota	0.0739	44	0.135	0.432	0	0.219700436	5
YJL116C	N/A	0.0608	1	0.25	0.447	0	0.047009165	3
YJL117W	SCER_S28	0.0830333333333	52	0.191	0.406	0	0.174509729	4
YJL118W	N/A	0.322566666667	2	0.094	0.476	0	0.021778963	4
YJL121C	N/A	0.0266	2	0.297	0.464	0	0.110359153	6
YJL122W	SCER_S28	0.0917333333333	16	0.213	0.419	0	0.052827686	4
YJL123C	N/A	0.1202	8	0.15	0.407	0	0.037465417	3
YJL124C	pre_Eukaryota	0.0566	80	0.159	0.409	0	0.088993152	4
YJL125C	pre_Eukaryota	0.0637	4	0.145	0.393	1	0.066316481	4
YJL126W	N/A	0.1051	1	0.115	0.418	0	0.01447152	3
YJL127C	N/A	0.240933333333	2	0.116	0.397	0	0.125193337	3
YJL128C	pre_Eukaryota	0.0587	30	0.142	0.422	0	0.244406495	3
YJL129C	N/A	0.107	8	0.14	0.392	0	0.180159094	3
YJL130C	N/A	0.0211	48	0.286	0.4	0	0.026202768	4
YJL131C	SCER_S28	0.17185	3	0.118	0.36	0	0.117968118	3
YJL132W	N/A	0.1543	2	0.119	0.384	0	0.03356566	3
YJL133W	N/A	0.04445	2	0.083	0.435	0	0.037110696	4
YJL134W	pre_Eukaryota	0.0653333333333	3	0.113	0.417	0	0.236231944	4
YJL137C	Eukaryota	0.173233333333	7	0.14	0.39	0	0.017489702	4
YJL138C	pre_Eukaryota	0.0212333333333	58	0.751	0.405	0	0.166015529	5
YJL139C	Eukaryota	0.0555333333333	2	0.138	0.389	0	0.241757998	4
YJL140W	Eukaryota	0.018	39	0.137	0.397	0	0.507398476	4
YJL141C	Eukaryota	0.05235	45	0.125	0.409	0	0.054577228	5
YJL143W	Eukaryota	0.0180666666667	16	0.176	0.479	1	0.101349801	5
YJL144W	N/A	0.1092	3	0.066	0.462	0	0.055354987	3
YJL145W	N/A	0.0580333333333	2	0.225	0.393	0	0.023166903	4
YJL146W	SCER_S28	0.0495666666667	12	0.106	0.406	0	0.05542351	4
YJL147C	N/A	0.1995	1	0.129	0.365	0	0.23440203	2
YJL148W	N/A	0.2212	37	0.197	0.375	0	0.036100613	4
YJL149W	SCER_S28	0.1017	5	0.155	0.376	0	0.03358866	3
YJL151C	Eukaryota	0.06605	51	0.16	0.489	0	0.016891522	1
YJL153C	pre_Eukaryota	0.0517	19	0.175	0.428	0	0.056261982	3
YJL154C	Eukaryota	0.0567	24	0.147	0.374	0	0.118828881	3
YJL155C	pre_Eukaryota	0.0544	5	0.138	0.372	0	0.047853931	4
YJL156C	SCER_S28	0.12385	4	0.128	0.381	1	0.120998887	4
YJL157C	SCER_S28	0.13935	29	0.133	0.394	0	0.063108169	3
YJL158C	SCER_S28	0.1011	2	0.589	0.47	0	0.048846763	6
YJL159W	SCER_S28	0.0710666666667	7	0.613	0.489	0	0.084909948	6
YJL160C	SCER_S28	0.12915	3	0.135	0.43	0	0.033463723	4
YJL161W	N/A	0.21085	1	0.087	0.404	0	0.160541103	3
YJL162C	pre_Eukaryota	0.2395	3	0.139	0.369	0	0.076005314	3
YJL163C	N/A	0.0889666666667	2	0.084	0.415	0	0.157805983	4
YJL164C	pre_Eukaryota	0.0492	287	0.178	0.399	0	0.179484525	5
YJL165C	pre_Eukaryota	0.0521	36	0.133	0.398	0	0.032261052	4
YJL166W	Eukaryota	0.00806666666667	3	0.211	0.39	0	0.290288197	4
YJL167W	pre_Eukaryota	0.0555333333333	15	0.373	0.419	1	0.089405987	5
YJL168C	Eukaryota	0.0505	24	0.138	0.378	0	0.096470516	3
YJL170C	SCER_S28	0.4271	3	0.125	0.423	0	0.050244411	4
YJL171C	N/A	0.0482	2	0.22	0.412	0	0.059130922	5
YJL172W	pre_Eukaryota	0.07	7	0.25	0.414	0	0.046120878	3
YJL173C	SCER_S28	0.0426	26	0.135	0.399	1	0.150841313	4
YJL174W	SCER_S28	0.134166666667	2	0.163	0.432	1	0.118054665	4
YJL176C	Eukaryota	0.1769	39	0.148	0.396	0	0.51250552	3
YJL177W	N/A	0.05405	88	0.68	0.44	0	0.063670312	5
YJL178C	SCER_S28	0.112066666667	26	0.151	0.427	0	0.014900705	4
YJL179W	SCER_S28	0.0672	11	0.154	0.349	0	0.047232729	4
YJL180C	Eukaryota	0.130933333333	6	0.118	0.382	0	0.531336669	4
YJL181W	N/A	0.31235	2	0.109	0.375	0	0.03249376	2
YJL183W	Eukaryota	0.0779666666667	16	0.176	0.396	0	0.321229165	4
YJL184W	SCER_S28	0.0867	7	0.083	0.493	0	0.531234863	4
YJL185C	SCER_S28	0.180233333333	5	0.112	0.423	0	0.030850714	4
YJL186W	SCER_S28	0.1218	4	0.16	0.412	0	0.040124149	3
YJL187C	pre_Eukaryota	0.0565	147	0.134	0.389	0	0.020849397	4
YJL190C	pre_Eukaryota	0.0174	101	0.812	0.41	0	0.13806366	5
YJL192C	SCER_S28	0.0684333333333	11	0.16	0.397	0	0.040648846	4
YJL193W	N/A	0.1195	2	0.101	0.366	0	0.052201874	4
YJL194W	pre_Eukaryota	0.0701	26	0.128	0.406	1	0.103733639	4
YJL196C	N/A	0.10645	34	0.134	0.402	0	0.014154811	4
YJL198W	N/A	0.0513	6	0.176	0.417	0	0.027820249	4
YJL200C	pre_Eukaryota	0.0289	4	0.219	0.4	0	0.00825292	4
YJL201W	SCER_S28	0.07005	5	0.15	0.367	0	0.039392185	3
YJL203W	pre_Eukaryota	0.2741	44	0.14	0.385	1	0.170518065	2
YJL204C	Eukaryota	0.1004	11	0.152	0.331	0	0.093515259	4
YJL206C	N/A	0.14045	2	0.146	0.383	0	0.162633225	4
YJL207C	Eukaryota	0.1102	9	0.135	0.348	0	0.013979557	3
YJL208C	pre_Eukaryota	0.0503333333333	10	0.138	0.4	0	0.034147785	4
YJL209W	N/A	0.1388	4	0.148	0.371	0	0.331793559	4
YJL210W	Eukaryota	0.133333333333	12	0.092	0.47	0	0.016894821	3
YJL212C	Eukaryota	0.0264	1	0.181	0.425	0	0.029323054	4
YJL213W	pre_Eukaryota	0.0489333333333	2	0.142	0.423	0	0.019512788	4
YJL214W	N/A	0.06985	8	0.202	0.409	0	0.010561635	4
YJL216C	N/A	0.0546	0	0.228	0.407	0	0.024220859	4
YJL217W	N/A	0.0582333333333	3	0.119	0.429	0	0.037991629	4
YJL218W	pre_Eukaryota	0.0735333333333	11	0.108	0.393	0	0.037769047	4
YJL219W	pre_Eukaryota	0.0793	5	0.167	0.44	0	NaN	4
YJL222W	pre_Eukaryota	0.229	9	0.158	0.385	0	NaN	3
YJR001W	Eukaryota	0.03655	16	0.115	0.418	0	0.046523916	4
YJR002W	pre_Eukaryota	0.24945	74	0.169	0.395	1	0.074967554	3
YJR003C	SCER_S28	0.184766666667	6	0.133	0.347	0	0.017658269	4
YJR004C	Eukaryota	0.3298	2	0.134	0.397	0	0.03136732	4
YJR005W	Eukaryota	0.0344	13	0.14	0.368	0	0.05842887	3
YJR006W	pre_Eukaryota	0.1026	6	0.157	0.393	1	0.066366826	4
YJR007W	pre_Eukaryota	0.0164	31	0.371	0.371	1	0.10551627	5
YJR008W	pre_Eukaryota	0.0847666666667	2	0.139	0.405	0	0.034828516	4
YJR009C	pre_Eukaryota	0.0985333333333	40	0.905	0.471	0	0.01163361	6
YJR010C-A	Eukaryota	0.1906	76	0.093	0.379	0	NaN	4
YJR010W	pre_Eukaryota	0.0374666666667	4	0.294	0.407	0	0.078900995	6
YJR011C	SCER_S28	0.133833333333	5	0.138	0.333	0	0.219183381	4
YJR013W	N/A	0.1135	2	0.108	0.387	1	0.06476316	4
YJR014W	Eukaryota	0.0409666666667	13	0.217	0.423	0	0.270827776	4
YJR015W	SCER_S28	0.1352	13	0.132	0.414	0	0.023230247	3
YJR016C	pre_Eukaryota	0.0209	3	0.378	0.447	1	0.089198653	5
YJR017C	pre_Eukaryota	0.0201333333333	21	0.124	0.52	1	0.07585868	4
YJR019C	Eukaryota	0.03745	5	0.109	0.501	0	0.147113819	4
YJR021C	SCER_S28	0.1613	9	0.107	0.471	0	0.017827851	4
YJR022W	pre_Eukaryota	0.0966	76	0.13	0.388	1	0.149225237	3
YJR024C	pre_Eukaryota	0.0922	2	0.121	0.44	0	0.040183613	4
YJR025C	Eukaryota	0.0326	5	0.173	0.405	0	0.017563609	4
YJR027W	Eukaryota	0.065	3	0.146	0.384	0	NaN	5
YJR030C	SCER_S28	0.2724	0	0.114	0.379	0	0.076682921	3
YJR031C	Eukaryota	0.096	11	0.13	0.364	0	0.012923512	3
YJR032W	pre_Eukaryota	0.1	21	0.185	0.367	0	0.295915641	3
YJR033C	pre_Eukaryota	0.0801	11	0.144	0.383	0	0.112476092	4
YJR034W	Eukaryota	0.0179666666667	6	0.119	0.448	0	0.220972109	4
YJR036C	N/A	0.1428	4	0.105	0.368	0	0.004102084	4
YJR039W	N/A	0.2382	2	0.125	0.372	0	0.051356025	4
YJR040W	pre_Eukaryota	0.0416	9	0.136	0.392	0	0.165521879	3
YJR041C	Fungi	0.1592	17	0.142	0.35	1	0.081759737	3
YJR042W	Eukaryota	0.113733333333	24	0.131	0.378	1	0.073375778	4
YJR043C	SCER_S28	0.1003	13	0.143	0.379	0	0.118522398	3
YJR044C	N/A	0.03825	11	0.151	0.371	0	0.049477173	3
YJR045C	pre_Eukaryota	0.0207	36	0.521	0.435	1	0.040364669	6
YJR046W	N/A	0.0682	14	0.108	0.44	1	0.03598722	4
YJR047C	N/A	0.05985	3	0.704	0.459	0	0.064333156	6
YJR048W	Eukaryota	0.0114666666667	10	0.368	0.428	0	0.155681604	6
YJR049C	pre_Eukaryota	0.0291	10	0.127	0.411	0	0.036479337	3
YJR050W	Eukaryota	0.1168	19	0.098	0.393	0	0.014397437	4
YJR051W	pre_Eukaryota	0.0342	2	0.168	0.393	0	0.027117024	3
YJR052W	pre_Eukaryota	0.0871	10	0.136	0.387	0	0.087044266	4
YJR053W	Fungi	0.102	16	0.151	0.376	0	0.010357865	3
YJR054W	N/A	0.13185	2	0.134	0.349	0	0.0272256	3
YJR055W	SCER_S28	0.113966666667	1	0.126	0.352	0	0.259710749	2
YJR056C	SCER_S28	0.1258	11	0.098	0.405	0	0.036226172	4
YJR057W	N/A	0.11035	6	0.148	0.381	1	0.077547777	4
YJR058C	Eukaryota	0.0202	6	0.084	0.408	0	0.05018377	5
YJR059W	N/A	0.08405	211	0.155	0.418	0	0.064684849	4
YJR060W	Eukaryota	0.110433333333	19	0.136	0.449	0	0.128216541	4
YJR061W	SCER_S28	0.104033333333	4	0.126	0.38	0	0.014259886	4
YJR062C	pre_Eukaryota	0.0854666666667	8	0.125	0.379	0	0.017228136	4
YJR063W	pre_Eukaryota	0.0186333333333	21	0.199	0.413	0	0.131603286	4
YJR064W	pre_Eukaryota	0.0244	23	0.217	0.402	1	0.073868677	5
YJR065C	Eukaryota	0.0128	25	0.201	0.422	1	0.052900903	5
YJR066W	Eukaryota	0.0319	45	0.138	0.386	0	0.016710564	4
YJR067C	Eukaryota	0.0767666666667	3	0.138	0.397	1	0.102404123	4
YJR068W	pre_Eukaryota	0.0459	31	0.176	0.389	1	0.083879293	6
YJR069C	pre_Eukaryota	0.0458333333333	3	0.198	0.416	0	0.022506857	4
YJR070C	pre_Eukaryota	0.0321666666667	9	0.4	0.451	0	0.04263479	4
YJR072C	pre_Eukaryota	0.0278666666667	22	0.171	0.447	1	0.072347078	5
YJR073C	Fungi	0.0656666666667	4	0.173	0.489	0	0.060647118	4
YJR074W	Eukaryota	0.13055	9	0.154	0.48	0	0.290969393	4
YJR075W	Eukaryota	0.0604666666667	9	0.179	0.406	0	0.073348181	4
YJR076C	Eukaryota	0.0328666666667	48	0.174	0.398	1	0.035106065	5
YJR077C	Eukaryota	0.016	23	0.363	0.481	0	0.33158946	5
YJR078W	N/A	0.1352	2	0.126	0.453	0	0.041935234	4
YJR080C	SCER_S28	0.143033333333	0	0.144	0.389	0	0.242002427	4
YJR082C	SCER_S28	0.0444	20	0.147	0.395	0	0.019987729	4
YJR083C	SCER_S28	0.12435	10	0.108	0.387	0	0.026392981	3
YJR084W	Eukaryota	0.0811666666667	15	0.099	0.408	0	0.029291325	4
YJR085C	N/A	0.0468666666667	2	0.138	0.454	0	NaN	4
YJR086W	SCER_S28	0.0678666666667	6	0.101	0.352	0	NaN	3
YJR088C	N/A	0.1096	2	0.171	0.361	0	0.023768059	4
YJR089W	SCER_S28	0.24915	17	0.134	0.362	0	0.146156259	4
YJR090C	pre_Eukaryota	0.046	31	0.117	0.363	0	0.313321483	3
YJR091C	Eukaryota	0.055	29	0.151	0.405	0	0.046503725	4
YJR092W	Fungi	0.1959	23	0.151	0.39	0	0.053174281	3
YJR093C	Eukaryota	0.104166666667	33	0.119	0.419	1	0.123804735	4
YJR094C	SCER_S28	0.1203	6	0.184	0.346	0	0.106384772	3
YJR095W	N/A	0.0251333333333	6	0.213	0.414	0	0.076639185	4
YJR096W	N/A	0.0602	8	0.222	0.417	0	0.038662125	4
YJR097W	pre_Eukaryota	0.134233333333	2	0.131	0.362	0	0.027317325	4
YJR098C	SCER_S28	0.1068	2	0.154	0.377	0	0.05978266	3
YJR099W	Eukaryota	0.1672	6	0.109	0.391	0	0.050763934	4
YJR100C	Eukaryota	0.0834	2	0.1	0.378	0	0.132561282	4
YJR101W	SCER_S28	0.1008	32	0.107	0.393	0	NaN	4
YJR102C	Eukaryota	0.115433333333	10	0.131	0.376	0	0.183489647	4
YJR103W	pre_Eukaryota	0.0455	6	0.157	0.458	0	0.005981535	5
YJR104C	pre_Eukaryota	0.0459333333333	16	0.377	0.504	0	0.475900151	4
YJR105W	pre_Eukaryota	0.0361	12	0.37	0.475	0	0.124274368	4
YJR107W	N/A	0.0688	2	0.127	0.387	0	0.067936796	4
YJR108W	SCER_S28	0.365	6	0.139	0.407	0	0.052133536	4
YJR109C	pre_Eukaryota	0.0214	19	0.239	0.39	0	0.038329864	5
YJR110W	pre_Eukaryota	0.05855	14	0.158	0.367	0	0.095168177	3
YJR111C	N/A	0.0380333333333	2	0.117	0.41	0	0.028490446	4
YJR112W	Fungi	0.1302	39	0.087	0.458	1	0.102750672	3
YJR113C	pre_Eukaryota	0.0799333333333	31	0.097	0.522	0	0.555906397	4
YJR116W	Eukaryota	0.0398	1	0.14	0.483	0	0.034885892	4
YJR117W	pre_Eukaryota	0.0403333333333	44	0.268	0.392	0	0.159093261	4
YJR118C	N/A	0.161933333333	11	0.189	0.333	0	0.312511289	4
YJR119C	Eukaryota	0.1277	11	0.148	0.363	0	0.024342636	4
YJR121W	pre_Eukaryota	0.00573333333333	30	0.425	0.43	0	0.258162011	6
YJR122W	pre_Eukaryota	0.0806	6	0.146	0.38	0	0.445226755	4
YJR123W	pre_Eukaryota	0.0326666666667	126	0.838	0.431	1	0.089365362	5
YJR124C	N/A	0.0482333333333	2	0.141	0.392	0	0.023003173	4
YJR125C	Eukaryota	0.07565	15	0.167	0.409	0	0.062150207	4
YJR126C	Eukaryota	0.07095	2	0.127	0.406	0	0.055029426	3
YJR129C	N/A	0.10655	1	0.109	0.434	0	0.026070461	4
YJR130C	pre_Eukaryota	0.0645	6	0.13	0.393	0	0.030430199	3
YJR131W	Eukaryota	0.1035	9	0.144	0.406	0	0.026380708	3
YJR133W	pre_Eukaryota	0.0436666666667	4	0.284	0.408	0	0.047827979	4
YJR134C	Eukaryota	0.157833333333	8	0.155	0.356	0	0.037330165	4
YJR135C	SCER_S28	0.299433333333	21	0.12	0.375	0	0.02725286	3
YJR136C	Fungi	0.259966666667	2	0.102	0.379	0	NaN	4
YJR137C	N/A	0.0458333333333	5	0.247	0.388	0	0.026912605	5
YJR138W	Eukaryota	0.06215	22	0.144	0.364	0	0	5
YJR139C	pre_Eukaryota	0.0288	6	0.467	0.402	0	0.25841008	6
YJR140C	Fungi	0.0842	14	0.14	0.365	0	0.046750207	3
YJR141W	SCER_S28	0.2647	10	0.131	0.368	1	0.085584757	2
YJR142W	N/A	0.0971	6	0.154	0.378	0	0.056173536	3
YJR143C	pre_Eukaryota	0.05185	4	0.216	0.402	0	NaN	4
YJR144W	Fungi	0.1081	19	0.163	0.432	0	0.579425925	3
YJR145C	N/A	0.0154	125	0.695	0.441	0	0.128329143	6
YJR147W	N/A	0.23805	1	0.116	0.466	0	0.022986687	2
YJR148W	pre_Eukaryota	0.0625	10	0.195	0.444	0	0.037722593	5
YJR149W	N/A	0.114233333333	2	0.139	0.379	0	0.008553969	3
YJR150C	N/A	0.343233333333	0	0.299	0.465	0	0.014124064	3
YJR151C	N/A	0.5236	1	0.232	0.436	0	NaN	3
YJR152W	N/A	0.0317	6	0.158	0.391	0	0.020996036	5
YJR153W	N/A	0.05065	2	0.175	0.411	0	0.015953361	4
YJR154W	N/A	0.0986333333333	4	0.128	0.411	0	0.019734087	3
YJR159W	pre_Eukaryota	0.0425333333333	6	0.212	0.448	0	0	4
YKL001C	pre_Eukaryota	0.009	6	0.267	0.398	0	0.158452092	4
YKL002W	Eukaryota	0.04645	15	0.118	0.414	0	0.207783736	5
YKL003C	Fungi	0.0435333333333	12	0.115	0.384	0	0.362298631	4
YKL004W	N/A	0.0262666666667	23	0.144	0.408	1	0.101251474	4
YKL005C	N/A	0.16255	4	0.147	0.39	0	0.023763534	4
YKL006C-A	SCER_S28	0.1013	16	0.103	0.371	1	NaN	3
YKL007W	Eukaryota	0.105666666667	20	0.181	0.384	0	0.0413029	4
YKL008C	Eukaryota	0.0565	37	0.195	0.371	0	0.004430089	3
YKL009W	pre_Eukaryota	0.05525	100	0.279	0.386	0	0.301749496	6
YKL010C	Eukaryota	0.0628	31	0.139	0.376	0	0.168671667	3
YKL011C	Fungi	0.1763	3	0.112	0.349	0	0.041008338	4
YKL012W	Eukaryota	0.12145	37	0.13	0.385	1	0.090692668	3
YKL013C	Eukaryota	0.0013	16	0.14	0.392	1	0.095267817	4
YKL015W	Fungi	0.0894	9	0.163	0.358	0	0.058357194	3
YKL016C	Eukaryota	0.0396	10	0.224	0.4	0	0.301625695	4
YKL017C	pre_Eukaryota	0.0675	1	0.164	0.371	0	0.02031636	4
YKL018W	pre_Eukaryota	0.0351666666667	37	0.136	0.393	1	0.088213282	4
YKL019W	Eukaryota	0.11995	6	0.144	0.455	1	0.077369491	3
YKL020C	pre_Eukaryota	0.12355	12	0.156	0.395	0	0.012388117	4
YKL021C	pre_Eukaryota	0.0702	43	0.193	0.371	1	0.0828978	3
YKL022C	pre_Eukaryota	0.05665	25	0.124	0.387	1	0.039950535	4
YKL023W	SCER_S28	0.2765	19	0.116	0.41	0	0.227792753	2
YKL024C	pre_Eukaryota	0.0547	2	0.211	0.458	1	0.121581061	4
YKL025C	Eukaryota	0.1019	14	0.151	0.367	0	0.040195584	4
YKL026C	pre_Eukaryota	0.131766666667	2	0.145	0.377	0	0.013451322	3
YKL027W	N/A	0.07455	1	0.147	0.409	0	0.223715166	3
YKL028W	Eukaryota	0.0581	29	0.201	0.398	1	0.072989797	5
YKL029C	pre_Eukaryota	0.0331666666667	52	0.231	0.472	0	0.029229069	4
YKL032C	N/A	0.0637	4	0.171	0.451	0	0.169505604	3
YKL033W	Eukaryota	0.1389	7	0.125	0.358	1	0.170522119	3
YKL034W	Eukaryota	0.0414	2	0.119	0.387	0	0.033157778	3
YKL035W	Eukaryota	0.0105	18	0.33	0.415	1	0.099654659	5
YKL038W	Fungi	0.0757	12	0.113	0.424	0	0.052528171	3
YKL039W	Eukaryota	0.0714	9	0.153	0.389	0	0.009418696	4
YKL040C	N/A	0.04775	4	0.193	0.376	0	0.112965142	3
YKL041W	N/A	0.0405666666667	7	0.134	0.393	0	0.127479363	4
YKL042W	SCER_S28	0.0841	33	0.137	0.388	1	0.082441083	4
YKL043W	Fungi	0.153366666667	4	0.137	0.445	0	0.010948942	4
YKL045W	pre_Eukaryota	0.0537666666667	11	0.14	0.388	1	0.091659771	5
YKL046C	N/A	0.0188333333333	3	0.211	0.428	0	0.045873889	6
YKL047W	SCER_S28	0.2021	5	0.128	0.368	0	0.137502295	4
YKL048C	pre_Eukaryota	0.15075	17	0.104	0.382	0	0.116185957	4
YKL049C	N/A	0.04325	20	0.12	0.397	1	0.080731059	4
YKL050C	SCER_S28	0.255066666667	4	0.137	0.412	0	0.012881973	4
YKL051W	SCER_S28	0.0773333333333	51	0.147	0.426	0	0.078619573	4
YKL052C	SCER_S28	0.1483	14	0.09	0.463	1	0.076037732	3
YKL054C	Fungi	0.1284	43	0.248	0.409	0	0.265215583	5
YKL055C	pre_Eukaryota	0.18825	0	0.13	0.42	0	0.375151051	2
